Product Name,ProductId,UserId,Rating,Description,category
Advil Liqui-Gels,2001,102001,4.5,"Advil Liqui-Gels are a fast-acting pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Tylenol Extra Strength,2002,102002,4.6,"Tylenol Extra Strength is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Claritin,2003,102003,4.7,"Claritin is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Benadryl,2004,102004,4.5,"Benadryl is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Pepto-Bismol,2005,102005,4.5,"Pepto-Bismol is an antacid and anti-diarrheal medication that provides relief from heartburn, indigestion, upset stomach, and diarrhea.",Medicine
Cream Cheese,6001,User6,4,"Smooth and creamy, great for spreading on bagels",dairy
Chocolate Milk,7001,User7,3.7,"Tastes good, but a bit too sweet for me",dairy
Butter,8001,User8,4.5,"Rich and creamy, perfect for baking",dairy
Sour Cream,9001,User9,2.8,"Has an odd aftertaste, wouldn't buy again",dairy
Strawberry Yogurt,10002,User10,4.7,Love the sweet and tangy flavor of this yogurt,dairy
Blue Cheese,20002,User11,3.9,"A bit pungent for my taste, but great for salads",dairy
Heavy Cream,30002,User12,4.8,"Perfect for whipping into soft peaks, makes great desserts",dairy
Buttermilk,40002,User13,2.5,"Not a fan of the tangy taste, wouldn't buy again",dairy
Ricotta Cheese,50002,User14,4.3,"Great for making lasagna, has a mild flavor",dairy
Almond Milk,60002,User15,3.6,"A good dairy-free alternative, but a bit thin for my taste",dairy
Feta Cheese,70002,User16,4.1,"Love the salty and tangy taste, great in salads",dairy
Whipping Cream,80002,User17,4.6,"Perfect for making whipped cream, has a rich flavor",dairy
Lactose-Free Milk,90002,User18,3.2,"Good for those who are lactose intolerant, but has a slightly different taste",dairy
Provolone Cheese,100003,User19,3.9,"Good cheese for sandwiches, has a mild taste",dairy
Half-and-Half,200003,User20,4.4,"Perfect for adding to coffee or tea, has a creamy texture",dairy
Goat Cheese,300003,User21,4.2,"Love the tangy taste, great in salads or on crackers",dairy
Eggnog,400003,User22,4.5,"Love this holiday drink, has a rich and creamy flavor",dairy
Swiss Cheese,500003,User23,3.7,"Good cheese for melting, has a mild taste",dairy
Kefir,600003,User24,3.8,"Love the tangy taste and probiotic benefits, great in smoothies",dairy
iPhone 12 Pro,1001,User25,4.5,"Great phone, love the camera and speed",electronics
Samsung Galaxy S21 Ultra,2001,User2,4.2,"Good phone, but a bit bulky and heavy",electronics
Sony WH-1000XM4 Wireless Headphones,3001,User3,4.8,"Best headphones I've ever had, great noise-cancelling",electronics
Apple AirPods Pro,4001,User4,3.9,"Good sound quality, but not worth the high price",electronics
Dell XPS 13,5001,User5,4.3,"Great laptop, fast and lightweight",electronics
LG OLED CX Series 65-Inch TV,6001,User6,4.9,"Amazing picture quality, the best TV I've ever owned",electronics
Logitech MX Master 3 Wireless Mouse,7001,User7,4.5,"Comfortable and precise, great for work",electronics
Microsoft Surface Pro 7,8001,User8,3.7,"Good laptop/tablet hybrid, but a bit expensive",electronics
Fitbit Versa 3,9001,User9,4.1,"Love the fitness tracking features, but the battery life could be better",electronics
Bose QuietComfort 35 II Wireless Headphones,10002,User10,4.6,"Great noise-cancelling, but a bit heavy",electronics
